y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
490;WindWorld;118 Lantmännen;Klintehamn I6c 37/41 941129;1000;656 716 879 879 77 143 81 91;;;;;;;;;;;;;
490;WindWorld;126 Glimminge Vind;Glimminge C3g 37/41 950226;950;814 884 1089 1089 99;6 154 89 2;;;;;;;;;;;;
490;WindWorld;133 Lys-Vind;Lysekil A8f 37/40 950405;950;724 903 1035 1035 99;6 120 73 2;;;;;;;;;;;;
490;WindWorld;135 Kastlösavind;Kastlösa G4c 37/42 950711;1100;797 895 1133 1133 99;5 165 87 2;;;;;;;;;;;;
490;WindWorld;139 Hablingbovind 1;Hablingbo I5i 37/41 950801;1225;889 955 1186 1186 89;4 182 86 61;;;;;;;;;;;;
490;WindWorld;140 Hablingbovind 2;Hablingbo I5i 37/41 950801;1225;1065 1068 1128 1128 93;1;;;;;;;;;;;;
500;Vestas;80 Molly Tången;Orust A7i 39/41 930923;1350;1047 827 1399 1399 98;8 183 82 20;;;;;;;;;;;;
500;Vestas;90 Elektro Glitne;Näs I5f 39/41 931220;1200;706 1157 1389 1389 99;6 208 90 0;;;;;;;;;;;;
500;Vestas;91 Rehn Kraft I;Näs I5f 39/41 931221;1200;978 1111 1210 1210 97;7 194 90 0;;;;;;;;;;;;
500;Vestas;114 Barsebäck III;Barsebäck C2h 39/40 941017;1150;897 1008 657 657 98;2;;;;;;;;;;;;
500;Vestas;124 Sophie Hogenäset;Sotenäs A8f 39/41 950131;1100;863 1034 1252 1252 99;2 176 84 4;;;;;;;;;;;;
500;Vestas;127 Hogenäset; Ingeborg;Hoge A8f 39/39 950125;1100;937 979 1198 1198 95 173 83 8;;;;;;;;;;;;
500;Vestas;128 Sönnertorp 2;Sönnertorp C4a 39/41 950213;890;853 962 1080 1080 97;3 178 90 3;;;;;;;;;;;;
